idade,anos_experiencia,area,nivel_educacao,salario,promovido
58,6,Financeiro,Pos-graduacao,5018.97,0
48,2,TI,Superior,4839.71,0
34,16,TI,Medio,6076.98,0
62,32,Saude,Medio,8099.71,1
27,11,Vendas,Superior,3969.06,0
40,21,TI,Superior,7302.01,1
58,21,Saude,Superior,7217.97,1
38,29,Saude,Pos-graduacao,7567.16,1
42,7,Vendas,Pos-graduacao,5585.43,0
30,26,Financeiro,Medio,5126.26,0
30,26,TI,Superior,6858.65,1
43,33,Vendas,Medio,6998.74,1
55,20,TI,Medio,7003.99,1
59,29,Saude,Medio,7416.48,1
43,32,Saude,Medio,7470.94,1
22,27,Financeiro,Superior,6028.07,0
41,32,Saude,Medio,7245.05,1
21,4,Saude,Superior,3096.11,0
43,18,Vendas,Superior,5728.29,0
63,3,TI,Pos-graduacao,5964.38,0
49,34,TI,Superior,9140.24,1
57,16,Vendas,Pos-graduacao,6637.16,1
21,27,Financeiro,Superior,6299.13,1
40,29,TI,Superior,8050.93,1
52,28,Saude,Superior,6984.31,1
31,5,TI,Pos-graduacao,5986.99,0
41,34,Saude,Pos-graduacao,8503.21,1
63,23,Financeiro,Medio,6303.67,1
44,28,Vendas,Pos-graduacao,8059.5,1
46,30,TI,Pos-graduacao,9797.86,1
61,34,Vendas,Pos-graduacao,9485.19,1
47,32,TI,Pos-graduacao,9733.7,1
35,20,Saude,Medio,5334.73,0
34,31,Vendas,Pos-graduacao,8098.31,1
63,22,TI,Superior,8280.55,1
22,32,Saude,Superior,6453.83,1
56,2,Vendas,Pos-graduacao,4773.86,0
26,17,Vendas,Pos-graduacao,6131.1,0
40,24,TI,Superior,8318.56,1
28,30,TI,Superior,7797.16,1
58,2,TI,Medio,4767.11,0
37,23,Saude,Superior,5570.06,0
23,31,TI,Superior,7547.09,1
44,21,Vendas,Pos-graduacao,7745.87,1
33,22,Vendas,Superior,5208.4,0
28,1,TI,Medio,3813.48,0
45,26,TI,Superior,8591.31,1
21,1,Financeiro,Pos-graduacao,2963.76,0
39,25,Vendas,Pos-graduacao,7777.54,1
47,16,Saude,Superior,4649.79,0
26,32,Financeiro,Pos-graduacao,8628.68,1
63,8,TI,Medio,5127.05,0
27,28,TI,Medio,7193.61,1
54,25,Vendas,Superior,6432.03,1
33,34,TI,Superior,9273.73,1
36,24,Saude,Superior,6047.62,0
55,23,Vendas,Pos-graduacao,7460.71,1
59,12,TI,Medio,6993.42,1
23,6,Vendas,Medio,4077.1,0
21,19,TI,Pos-graduacao,7953.9,1
